run_id	timestamp_utc	stage	host	git_commit	code_sha256	command	primary_metric	value	ci95_low	ci95_high	decision	artifact_path	notes
local_20_v7	2026-07-23T05:58:27Z	phase0_diagnostic	WUrbane	NO_GIT	20ec7f0568a8b70e35b8eb87577fc16ee1c7328f9c85219db15e39b431d5f100	python phase0_diagnostic.py --output-dir outputs/local_20_v7 --seeds 0..19 --run-role primary_frozen_20_seed	paired_correlated_minus_orthogonal_mean	0.2772669967022666	0.16190569611441527	0.40825283343663493	local_reference	experiments/phase0_diagnostic/outputs/local_20_v7	protocol=2cf6fa6c; tests=16/16; all_required_pass=true
remote_primary_20_v2	2026-07-23T05:59:23Z	phase0_diagnostic	alibaba-10	NO_GIT	20ec7f0568a8b70e35b8eb87577fc16ee1c7328f9c85219db15e39b431d5f100	python phase0_diagnostic.py --output-dir outputs/remote_primary_20_v2 --seeds 0..19 --run-role primary_frozen_20_seed	paired_correlated_minus_orthogonal_mean	0.27726699670226657	0.1619056961144152	0.40825283343663493	confirmed	experiments/phase0_diagnostic/outputs/remote_primary_20_v2	protocol=2cf6fa6c; tests=16/16; all_required_pass=true; input/output hashes provenance-only
local_100_v5	2026-07-23T05:58:27Z	phase0_diagnostic	WUrbane	NO_GIT	20ec7f0568a8b70e35b8eb87577fc16ee1c7328f9c85219db15e39b431d5f100	python phase0_diagnostic.py --output-dir outputs/local_100_v5 --seeds 0..99 --run-role sensitivity_only_100_seed	paired_correlated_minus_orthogonal_mean	0.21134940386987075	0.17042519914813284	0.2553952064243144	sensitivity_reference	experiments/phase0_diagnostic/outputs/local_100_v5	protocol=2cf6fa6c; sensitivity-only; all_required_pass=true
remote_sensitivity_100_v2	2026-07-23T05:59:23Z	phase0_diagnostic	alibaba-10	NO_GIT	20ec7f0568a8b70e35b8eb87577fc16ee1c7328f9c85219db15e39b431d5f100	python phase0_diagnostic.py --output-dir outputs/remote_sensitivity_100_v2 --seeds 0..99 --run-role sensitivity_only_100_seed	paired_correlated_minus_orthogonal_mean	0.21134940386987072	0.1704251991481329	0.2553952064243144	sensitivity_only	experiments/phase0_diagnostic/outputs/remote_sensitivity_100_v2	protocol=2cf6fa6c; tests=16/16; input/output hashes provenance-only
local_primary_v4	2026-07-23T06:50:40Z	phase1_theory_falsification	WUrbane	NO_GIT	28a0c2a4ab40e0d73e7ca6e5a2b238d17598b31b456c5f564078bda65a019ac5	python phase1_theory_checks.py --output-dir outputs/local_primary_v4 --run-role primary_frozen_audited	required_gate_failures	0			local_citable_candidate	experiments/phase1_theory_checks/outputs/local_primary_v4	protocol=357f29474939fc24d02ec755b9702c7b1c59d098b7f0a8a43212b72e18ac1865; tests=7/7; gates=163/163; claim_boundary=conditional_theory_only
remote_primary_v4	2026-07-23T06:53:21Z	phase1_theory_falsification	alibaba-10	NO_GIT	28a0c2a4ab40e0d73e7ca6e5a2b238d17598b31b456c5f564078bda65a019ac5	python phase1_theory_checks.py --output-dir outputs/remote_primary_v4 --run-role primary_frozen_audited	required_gate_failures	0			confirmed	experiments/phase1_theory_checks/outputs/remote_primary_v4	protocol=357f29474939fc24d02ec755b9702c7b1c59d098b7f0a8a43212b72e18ac1865; tests=7/7; gates=163/163; cross_host_max_delta=1.3322676295501878e-15; post_crosscheck=20260723-150730-3c556e0d
